               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.024495,            0.090813,           0.0019188,             0.78503,             0.75431,             0.79841,             0.58045,            0.024667,             0.12522,            0.007394,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023699,            0.092199,           0.0019369,             0.76583,             0.80383,             0.82225,             0.59606,            0.024417,             0.12749,           0.0067859,            0.007129,            0.007129,            0.007129
                 147,            0.024443,            0.096521,           0.0019672,             0.82517,             0.72735,             0.81023,             0.57785,             0.02522,             0.12767,           0.0075138,           0.0071092,           0.0071092,           0.0071092
                 148,              0.0253,            0.093665,            0.001979,             0.77122,             0.77054,             0.80038,             0.57809,            0.024256,             0.12662,           0.0078183,           0.0070894,           0.0070894,           0.0070894
                 149,            0.023027,            0.084266,           0.0018076,             0.80149,             0.73923,             0.79928,             0.57869,            0.024434,              0.1266,           0.0074093,           0.0070696,           0.0070696,           0.0070696
                 150,             0.02415,             0.09411,           0.0019744,             0.77828,              0.7938,             0.81579,             0.59297,            0.024507,             0.12854,           0.0062926,           0.0070498,           0.0070498,           0.0070498
                 151,            0.024112,            0.089149,           0.0018741,             0.82835,             0.75548,             0.82027,             0.59594,            0.025404,             0.12676,           0.0068969,             0.00703,             0.00703,             0.00703
                 152,            0.024209,            0.089162,           0.0018741,             0.81094,             0.71862,             0.79526,             0.57377,            0.024863,             0.12646,           0.0077206,           0.0070102,           0.0070102,           0.0070102
                 153,             0.02298,            0.087784,           0.0018667,             0.80878,              0.7181,             0.76293,             0.54816,            0.024649,             0.12526,           0.0076096,           0.0069904,           0.0069904,           0.0069904
                 154,            0.025482,            0.095775,            0.001973,             0.81638,             0.70027,             0.77726,             0.57497,            0.024215,             0.12611,           0.0066774,           0.0069706,           0.0069706,           0.0069706
                 155,            0.023596,            0.093296,           0.0020013,              0.7778,             0.77281,             0.78696,             0.56572,              0.0244,              0.1243,           0.0069752,           0.0069508,           0.0069508,           0.0069508
                 156,            0.025194,            0.090884,            0.001926,             0.78354,             0.75826,             0.80105,             0.58113,            0.024444,             0.12769,           0.0074111,            0.006931,            0.006931,            0.006931
