               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   9,            0.027352,            0.079835,           0.0012692,             0.82679,             0.74264,                0.83,             0.60304,            0.033387,             0.12459,           0.0037206,           0.0021287,           0.0021287,           0.0021287
                   0,              0.1109,              0.1813,            0.037059,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042525,           0.0042525,            0.063789
                   1,            0.089736,             0.14779,            0.035487,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007728,            0.007728,            0.016952
                   2,            0.076828,             0.11031,            0.031736,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075147,           0.0075147,           0.0075147
                   3,            0.066747,            0.088083,            0.027592,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075147,           0.0075147,           0.0075147
                   4,            0.057463,            0.084949,            0.025292,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065871,           0.0065871,           0.0065871
                   5,            0.051085,             0.08382,            0.024091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056595,           0.0056595,           0.0056595
                   6,            0.044854,            0.078289,            0.022637,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047319,           0.0047319,           0.0047319
                   7,            0.038921,            0.074224,            0.021932,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038042,           0.0038042,           0.0038042
                   8,            0.035787,            0.075717,            0.021131,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028766,           0.0028766,           0.0028766
                   9,            0.030639,            0.070645,            0.020548,             0.62397,             0.49266,             0.49358,             0.33645,            0.033683,            0.095952,            0.020191,            0.001949,            0.001949,            0.001949
                   0,            0.070796,              0.1298,            0.001847,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057525,           0.0057525,             0.04816
                   1,            0.041322,             0.10241,            0.001949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094875,           0.0094875,           0.0094875
                   2,            0.039613,             0.10448,           0.0023124,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094875,           0.0094875,           0.0094875
                   3,            0.036424,            0.096572,           0.0017984,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084451,           0.0084451,           0.0084451
                   4,            0.033802,             0.08843,           0.0016955,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074026,           0.0074026,           0.0074026
                   5,            0.030431,            0.089179,           0.0015777,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063601,           0.0063601,           0.0063601
                   6,            0.029403,            0.082254,           0.0015654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053177,           0.0053177,           0.0053177
